text_file,tau,k,runtime (s),Max RSS (kB),num_of_freq,num_of_resi,ratio,diff
data/sources.200MB,10,100,1219.39,64626368,166194174,11867901,0.0714098,154326273
data/sources.200MB,100,100,997.648,64626368,26216749,5006743,0.190975,21210006
data/sources.200MB,1000,100,961.396,64626356,4671831,1687533,0.361214,2984298
data/sources.200MB,10000,100,907.419,64626376,16325,16148,0.989158,177
data/sources.200MB,100000,100,904.709,64626372,1222,1217,0.995908,5
data/sources.200MB,1000000,100,907.111,64626372,88,88,1,0
