text_file,tau,k,runtime (s),Max RSS (kB),num_of_freq,num_of_resi,ratio,diff
data/sources.200MB,10000,10,907.949,64626368,16325,16301,0.99853,24
data/sources.200MB,10000,100,906.754,64626376,16325,16148,0.989158,177
data/sources.200MB,10000,1000,909.115,64626372,16325,14498,0.888086,1827
data/sources.200MB,10000,10000,932.453,64626368,16325,7100,0.434916,9225
data/sources.200MB,10000,100000,964.043,64626368,16325,919,0.056294,15406
data/sources.200MB,10000,1000000,996.153,64626364,16325,79,0.0048392,16246
