text_file,tau,k,runtime (s),Max RSS (kB),num_of_freq,num_of_resi,ratio,diff
data/english.200MB,10000,10,1001.71,64229604,14020,14012,0.999429,8
data/english.200MB,10000,100,1003.76,64229596,14020,13841,0.987233,179
data/english.200MB,10000,1000,1169.62,64229620,14020,12562,0.896006,1458
data/english.200MB,10000,10000,1017.79,64229620,14020,6312,0.450214,7708
data/english.200MB,10000,100000,1027.98,64229620,14020,1015,0.0723966,13005
data/english.200MB,10000,1000000,1044.71,64229620,14020,94,0.00670471,13926
