text_file,tau,k,runtime (s),Max RSS (kB),num_of_freq,num_of_resi,ratio,diff
data/dna.200MB_25MB,10000,100,148.739,8054272,1814,1796,0.990077,18
data/dna.200MB_50MB,10000,100,309.544,16117424,4010,3963,0.988279,47
data/dna.200MB_75MB,10000,100,467.831,24193020,5623,5557,0.988262,66
data/dna.200MB_100MB,10000,100,633.987,32243568,7550,7481,0.990861,69
data/dna.200MB_125MB,10000,100,797.077,40308704,10051,9930,0.987961,121
data/dna.200MB_150MB,10000,100,954.655,48401968,12605,12424,0.985641,181
data/dna.200MB_175MB,10000,100,1120.2,56486304,14885,14727,0.989385,158
data/dna.200MB,10000,100,1365.52,67775584,17640,17478,0.990816,162
