text_file,tau,k,runtime (s),Max RSS (kB),num_of_freq,num_of_resi,ratio,diff
data/dblp.xml.200MB,10,100,1079.82,59484956,110329407,7894625,0.071555,102434782
data/dblp.xml.200MB,100,100,887.211,59484936,8804508,3620435,0.411202,5184073
data/dblp.xml.200MB,1000,100,863.073,59484960,489701,436799,0.891971,52902
data/dblp.xml.200MB,10000,100,857.649,59484948,44235,44009,0.994891,226
data/dblp.xml.200MB,100000,100,859.386,59484944,4544,4544,1,0
data/dblp.xml.200MB,1000000,100,862.265,59484952,175,175,1,0
data/dblp.xml.200MB,10000000,100,858.225,59484952,7,7,1,0
