text_file,tau,k,runtime (s),Max RSS (kB),num_of_freq,num_of_resi,ratio,diff
data/dblp.xml.200MB,10000,10,860.81,59484956,44235,44229,0.999864,6
data/dblp.xml.200MB,10000,100,862.412,59484948,44235,44009,0.994891,226
data/dblp.xml.200MB,10000,1000,864.24,59484940,44235,41675,0.942127,2560
data/dblp.xml.200MB,10000,10000,876.455,59484952,44235,20870,0.471798,23365
data/dblp.xml.200MB,10000,100000,880.853,59484940,44235,4307,0.0973663,39928
data/dblp.xml.200MB,10000,1000000,897.118,59484948,44235,174,0.00393354,44061
