text_file,tau,k,runtime (s),Max RSS (kB),num_of_freq,num_of_resi,ratio,diff
data/english.200MB,10,100,1208.33,64229608,26305055,1817744,0.0691025,24487311
data/english.200MB,100,100,1031.39,64229616,2057604,988959,0.480636,1068645
data/english.200MB,1000,100,1007.66,64229620,170778,154729,0.906024,16049
data/english.200MB,10000,100,1005.55,64229596,14020,13841,0.987233,179
data/english.200MB,100000,100,1001.64,64229616,1143,1138,0.995626,5
data/english.200MB,1000000,100,1002.37,64229608,96,96,1,0
